5979,4021,5327,5103,5391,5550,5303,4883,4442,5159,2524,4302,4440,4979,5305,2795,4182,2795,2630,4814,3809,491,4273,3441,4249,1181,4955,5027,4720,4723,4662,437,3420,713,4699,33,4123,4438,2951,187,4018,614,4682,184,4213,4650,4547,3960,3726,160,3699,1539,1744,2104,557,1959,37,3949,679,431,315,925,48,4601,4075,37,43,39,4613,49,4601,32,2808,419,1301,1053,4268,4332,3888,2548,28,49,22,562,321,47,45,168,32,318,3609,32,41,32,47,4267,4563,3646,28,2639
157,157,114,73,114,130,104,111,115,89,91,86,82,91,77,86,81,86,100,96,54,51,75,58,85,24,55,64,67,82,71,11,97,38,69,11,85,42,60,35,82,36,67,33,62,69,90,64,66,45,50,11,60,55,41,23,8,36,55,7,35,34,10,63,47,20,19,10,63,11,63,11,12,12,14,43,62,81,70,102,9,10,10,49,35,20,9,23,11,52,46,12,12,9,22,47,52,63,8,35
852,506,852,527,793,771,788,793,746,756,777,733,517,777,540,417,735,417,426,439,510,34,526,733,733,71,526,525,510,644,392,159,456,155,741,7,721,383,299,61,706,150,510,60,505,392,646,765,722,239,369,323,332,396,389,166,4,490,381,156,20,207,26,392,502,48,47,26,741,28,392,7,477,140,161,257,608,608,490,405,4,27,5,419,19,49,25,17,7,268,736,7,7,6,50,377,392,589,4,353
2561,1598,1899,2561,1959,2534,2532,2217,2469,1968,998,1924,1924,1631,1960,968,1898,968,1178,2493,1641,22,2461,1346,1905,63,2471,2526,2268,1921,2494,61,1310,41,1640,5,2469,2431,903,1,2203,606,2267,1,1895,2494,1594,1833,1568,2,2369,961,574,632,41,616,5,2408,40,39,0,306,2,2486,1897,0,2,0,1634,2,2486,5,1077,41,102,65,1592,2166,2195,1239,2,2,0,41,2,2,2,1,2,20,1567,2,21,2,2,1655,2432,2360,5,1607
591,437,586,338,591,581,514,519,506,574,567,560,331,583,344,415,560,415,418,172,328,71,276,571,560,16,337,338,335,468,227,121,365,120,570,3,499,164,257,63,496,176,335,63,270,226,470,499,557,238,212,147,245,351,356,115,4,262,411,122,8,177,8,226,324,2,2,8,570,8,226,2,271,115,128,254,458,458,266,357,3,8,3,349,8,1,8,63,3,304,503,2,2,1,2,223,225,386,2,221
647,227,601,631,634,647,623,587,592,623,449,584,596,592,630,166,580,166,143,623,572,27,589,490,583,45,602,629,616,618,632,8,185,17,580,5,578,586,163,18,563,30,615,18,580,627,583,544,537,6,564,423,108,111,9,105,5,550,22,8,14,36,5,625,580,5,5,5,577,5,625,5,461,8,48,46,575,585,569,153,5,5,5,9,14,5,5,18,5,19,524,5,5,5,5,603,599,546,5,485
799,697,271,754,731,784,799,288,772,737,155,724,698,233,701,626,717,626,167,747,669,2,735,186,724,28,286,746,725,712,739,19,668,19,239,2,769,268,147,13,743,64,725,12,690,737,214,260,218,31,257,100,115,122,47,92,2,272,47,19,2,58,3,729,688,12,12,2,231,2,729,2,129,19,32,43,214,267,704,634,2,2,2,57,2,12,2,2,2,30,218,2,2,2,12,655,268,276,2,158
229,227,214,210,211,217,215,229,216,201,207,202,204,208,200,201,203,201,215,26,201,17,211,199,200,10,205,205,205,14,21,196,211,201,201,10,209,20,21,9,209,203,205,9,202,18,21,205,204,15,20,11,20,209,200,201,9,204,199,193,11,194,8,18,195,9,10,7,201,10,18,10,193,197,195,15,14,23,208,212,8,10,7,200,12,10,8,7,10,12,201,10,12,8,12,9,18,22,8,19
92,87,77,57,79,87,87,62,92,78,34,78,58,58,51,76,74,76,63,57,39,5,58,48,78,3,55,53,40,72,58,5,63,7,57,3,82,51,69,5,65,9,40,3,54,55,53,75,53,30,54,5,55,54,30,26,3,53,30,5,5,22,5,51,49,3,3,3,53,3,51,3,6,5,5,28,51,59,38,61,3,3,3,33,5,3,3,3,3,28,56,3,3,3,3,30,51,74,3,9
275,43,256,271,268,272,267,241,263,275,235,268,267,245,268,40,264,40,13,264,256,4,259,250,268,4,258,268,260,267,268,2,28,2,249,0,263,255,22,4,252,6,259,4,262,268,243,248,241,1,255,228,7,9,3,8,0,251,7,2,0,17,0,265,264,0,0,0,245,0,265,0,234,2,6,5,243,246,248,21,0,0,0,3,0,0,0,4,0,5,237,0,0,0,0,255,256,246,0,236
89,54,88,29,83,66,64,67,62,64,89,64,30,83,29,46,65,46,48,22,47,9,43,65,64,6,28,28,28,75,23,26,45,11,64,4,60,19,39,10,60,13,28,10,26,22,77,64,65,40,23,22,58,46,62,9,3,24,49,25,4,16,20,22,28,6,6,20,64,21,22,4,26,10,9,38,58,58,25,43,3,20,3,48,4,7,20,7,4,60,77,4,4,4,7,22,22,54,3,24
169,156,160,63,161,166,161,153,161,164,118,169,63,154,60,159,161,159,144,55,52,5,55,129,164,0,58,58,52,160,57,5,143,2,155,0,161,54,146,2,153,4,51,2,55,57,150,158,152,104,56,10,138,143,106,36,0,57,108,2,0,12,0,55,58,0,0,0,152,0,55,0,15,2,2,104,152,152,47,143,0,0,0,106,0,0,0,2,0,109,150,0,3,0,0,50,56,158,0,15
430,405,419,424,424,429,422,312,427,423,63,424,430,312,424,400,418,400,288,394,316,8,423,166,423,1,418,419,315,387,391,34,289,38,311,1,421,385,358,2,313,34,314,2,423,390,279,414,306,1,387,25,250,283,33,281,1,418,34,33,6,142,1,386,419,1,1,1,306,1,386,1,57,33,33,1,274,278,314,290,1,1,1,33,6,1,1,2,1,3,305,1,2,1,1,279,386,381,1,27
125,102,122,102,123,109,96,97,91,105,42,101,98,125,105,96,99,96,98,87,113,12,104,30,99,7,102,102,102,115,97,23,90,8,105,1,89,86,85,11,89,17,102,11,88,96,116,90,99,4,91,6,95,85,26,81,1,86,20,23,2,17,17,96,96,1,1,17,105,17,96,1,17,7,13,10,101,99,87,87,1,17,1,10,2,1,17,11,1,30,105,1,1,1,1,98,96,85,1,22
50,24,42,48,48,50,42,34,37,48,31,43,43,40,50,19,41,19,10,42,39,6,37,39,42,6,41,48,45,47,46,1,15,2,39,0,36,35,11,5,33,6,44,5,37,46,38,30,32,0,34,24,2,3,1,3,0,31,6,1,1,9,0,46,42,0,0,0,38,0,46,0,31,1,7,6,38,37,34,11,0,0,0,1,1,0,0,5,0,5,27,0,0,0,0,45,40,30,0,35
254,252,245,152,247,251,246,220,246,250,108,254,152,221,148,254,247,254,221,141,124,6,143,136,250,0,146,147,124,244,144,7,221,4,223,0,246,139,238,3,221,7,123,3,143,144,216,242,220,101,142,0,213,220,105,116,0,144,108,4,0,32,0,142,147,0,0,0,220,0,142,0,7,4,4,101,217,218,118,220,0,0,0,105,0,0,0,3,0,107,217,0,3,0,0,119,142,239,0,6
